38,2020-03-24 17:21:54,move|5_0-7_0-6_0-9_0-8_0-2_0|0_0-1_1-3_1-4_2|c0,exp1_pp1a
38,2020-03-24 17:22:04,move|5_0-7_0-9_0-8_0-2_0|0_0-1_1-3_1-4_2-6_3|c0,exp1_pp1a
38,2020-03-24 17:22:08,move|5_0-7_0-9_0-2_0|0_0-1_1-3_1-4_2-6_3-8_2|c0,exp1_pp1a
38,2020-03-24 17:22:11,move|5_0-7_0-2_0|0_0-1_1-3_1-4_2-6_3-8_2-9_1|c0,exp1_pp1a
38,2020-03-24 17:22:13,correct|5_0-7_0-2_0|0_0-1_1-3_1-4_2-6_3-8_2-9_1|c0-s,exp1_pp1a
36,2020-03-24 21:47:56,start|1_0-4_0-7_0-5_0-0_0-6_0-2_0-8_0-3_0-9_0|-|c0,exp1_pp1a
36,2020-03-24 21:47:57,move|1_0-4_0-7_0-5_0-6_0-2_0-8_0-3_0-9_0|0_0|c0,exp1_pp1a
36,2020-03-24 21:50:49,move|1_0-4_0-7_0-5_0-6_0-8_0-3_0-9_0|0_0-2_0|c0,exp1_pp1a
36,2020-03-24 21:50:51,move|1_0-4_0-7_0-5_0-6_0-8_0-3_0-9_0|0_0-2_1|c0,exp1_pp1a
36,2020-03-24 21:50:55,move|1_0-4_0-7_0-5_0-6_0-8_0-9_0|0_0-2_1-3_1|c0,exp1_pp1a
36,2020-03-24 21:51:27,move|1_0-4_0-7_0-6_0-8_0-9_0|0_0-2_1-3_1-5_2|c0,exp1_pp1a
36,2020-03-24 21:51:29,move|1_0-4_0-7_0-8_0-9_0|0_0-2_1-3_1-5_2-6_3|c0,exp1_pp1a
36,2020-03-24 21:51:37,move|1_0-4_0-7_0-8_0|0_0-2_1-3_1-5_2-6_3-9_2|c0,exp1_pp1a
36,2020-03-24 21:51:40,incorrect|1_0-4_0-7_0-8_0|0_0-2_1-3_1-5_2-6_3-9_2|c1,exp1_pp1a
36,2020-03-24 21:51:52,move|1_0-7_0-8_0|0_0-2_1-3_1-5_2-6_3-4_2-9_2|c1,exp1_pp1a
36,2020-03-24 21:52:02,move|1_0-4_0-7_0-8_0|0_0-2_1-3_1-5_2-6_3-9_2|c1,exp1_pp1a
36,2020-03-24 21:52:05,move|1_0-4_0-7_0|0_0-2_1-3_1-5_2-6_3-8_2-9_2|c1,exp1_pp1a
36,2020-03-24 21:52:09,move|1_0-4_0-7_0|0_0-2_1-3_1-5_2-6_3-8_2-9_1|c1,exp1_pp1a
36,2020-03-24 21:52:14,incorrect|1_0-4_0-7_0|0_0-2_1-3_1-5_2-6_3-8_2-9_1|c2,exp1_pp1a
36,2020-03-24 21:52:20,move|1_0-4_0-7_0-2_0|0_0-3_1-5_2-6_3-8_2-9_1|c2,exp1_pp1a
36,2020-03-24 21:52:22,move|4_0-7_0-2_0|0_0-1_1-3_1-5_2-6_3-8_2-9_1|c2,exp1_pp1a
36,2020-03-24 21:52:26,move|7_0-2_0|0_0-1_1-3_1-4_2-5_2-6_3-8_2-9_1|c2,exp1_pp1a
36,2020-03-24 21:52:27,move|7_0-5_0-2_0|0_0-1_1-3_1-4_2-6_3-8_2-9_1|c2,exp1_pp1a
36,2020-03-24 21:52:29,correct|7_0-5_0-2_0|0_0-1_1-3_1-4_2-6_3-8_2-9_1|c0-s,exp1_pp1a
124,2020-03-24 22:42:34,start|5_0-0_0-4_0-1_0-9_0-3_0-2_0-7_0-6_0-8_0|-|c0,exp1_pp1a
124,2020-03-24 22:42:35,move|5_0-4_0-1_0-9_0-3_0-2_0-7_0-6_0-8_0|0_0|c0,exp1_pp1a
124,2020-03-24 22:43:29,move|5_0-4_0-1_0-9_0-2_0-7_0-6_0-8_0|0_0-3_1|c0,exp1_pp1a
124,2020-03-24 22:43:52,move|5_0-4_0-9_0-2_0-7_0-6_0-8_0|0_0-1_1-3_1|c0,exp1_pp1a
124,2020-03-24 22:43:57,move|5_0-9_0-2_0-7_0-6_0-8_0|0_0-1_1-3_1-4_2|c0,exp1_pp1a
124,2020-03-24 22:44:08,move|5_0-9_0-2_0-7_0-8_0|0_0-1_1-3_1-4_2-6_3|c0,exp1_pp1a
124,2020-03-24 22:44:30,move|5_0-9_0-2_0-7_0|0_0-1_1-3_1-4_2-6_3-8_3|c0,exp1_pp1a
124,2020-03-24 22:44:50,move|5_0-2_0-7_0|0_0-1_1-3_1-4_2-6_3-8_3-9_1|c0,exp1_pp1a
124,2020-03-24 22:44:51,incorrect|5_0-2_0-7_0|0_0-1_1-3_1-4_2-6_3-8_3-9_1|c1,exp1_pp1a
124,2020-03-24 22:44:54,move|5_0-2_0-7_0|0_0-1_1-3_1-4_2-6_3-8_2-9_1|c1,exp1_pp1a
124,2020-03-24 22:44:56,correct|5_0-2_0-7_0|0_0-1_1-3_1-4_2-6_3-8_2-9_1|c0-s,exp1_pp1a
150,2020-03-25 02:42:17,start|2_0-1_0-8_0-7_0-0_0-9_0-3_0-6_0-5_0-4_0|-|c0,exp1_pp1a
150,2020-03-25 02:42:17,move|2_0-1_0-8_0-7_0-9_0-3_0-6_0-5_0-4_0|0_0|c0,exp1_pp1a
150,2020-03-25 02:43:01,move|2_0-1_0-8_0-7_0-9_0-6_0-5_0-4_0|0_0-3_1|c0,exp1_pp1a
150,2020-03-25 02:43:04,move|1_0-8_0-7_0-9_0-6_0-5_0-4_0|0_0-2_1-3_1|c0,exp1_pp1a
150,2020-03-25 02:43:28,move|8_0-7_0-9_0-6_0-5_0-4_0|0_0-2_1-1_1-3_1|c0,exp1_pp1a
150,2020-03-25 02:43:30,move|8_0-7_0-2_0-9_0-6_0-5_0-4_0|0_0-1_1-3_1|c0,exp1_pp1a
150,2020-03-25 02:43:33,move|8_0-7_0-2_0-9_0-6_0-5_0|0_0-1_1-3_1-4_2|c0,exp1_pp1a
150,2020-03-25 02:43:41,move|8_0-7_0-2_0-9_0-5_0|0_0-1_1-3_1-4_2-6_3|c0,exp1_pp1a
150,2020-03-25 02:43:47,move|8_0-7_0-2_0-5_0|0_0-1_1-3_1-4_2-6_3-9_1|c0,exp1_pp1a
150,2020-03-25 02:43:56,incorrect|8_0-7_0-2_0-5_0|0_0-1_1-3_1-4_2-6_3-9_1|c1,exp1_pp1a
150,2020-03-25 02:44:27,move|7_0-2_0-5_0|0_0-1_1-3_1-4_2-6_3-8_2-9_1|c1,exp1_pp1a
150,2020-03-25 02:44:29,correct|7_0-2_0-5_0|0_0-1_1-3_1-4_2-6_3-8_2-9_1|c0-s,exp1_pp1a
