Problem Div,Problem Type,Average,StdDev,Attempted,Correct,Percent Correct
ch3ex7muc,Parsons,46.0,0.0,1,1,1.0
ch3ex8muc,Parsons,6.0,0.0,1,1,1.0
ch3ex9muc,Parsons,10.0,0.0,1,1,1.0
ch3ex10muc,Parsons,33.0,0.0,1,1,1.0
ch3ex11muc,Parsons,39.0,0.0,1,1,1.0
ch3ex12muc,Parsons,55.0,0.0,2,1,0.5
ch4ex1muc,Parsons,16.0,0.0,1,1,1.0
ch4ex2muc,Parsons,17.0,0.0,1,1,1.0
ch4ex3muc,Parsons,6.0,0.0,1,1,1.0
ch4ex4muc,Parsons,7.0,0.0,1,1,1.0
ch4ex5muc,Parsons,5.0,0.0,1,1,1.0
ch4ex6muc,Parsons,5.0,0.0,1,1,1.0
ch4ex7muc,Parsons,8.0,0.0,1,1,1.0
ch4ex8muc,Parsons,5.0,0.0,1,1,1.0
ch4ex9muc,Parsons,9.0,0.0,1,1,1.0
ch4ex10muc,Parsons,7.0,0.0,1,1,1.0
ch17ex1muc,Parsons,35.5,14.849242404917497,2,2,1.0
ch17ex2muc,Parsons,74.5,31.81980515339464,2,2,1.0
ch17ex3muc,Parsons,50.0,8.48528137423857,2,2,1.0
ch17ex4muc,Parsons,21.0,5.656854249492381,2,2,1.0
ch17ex5muc,Parsons,59.0,56.568542494923804,2,2,1.0
ch17ex6muc,Parsons,66.5,14.849242404917497,2,2,1.0
ch17ex7muc,Parsons,31.5,7.7781745930520225,2,2,1.0
ch16ex1muc,Parsons,28.0,14.142135623730951,2,2,1.0
ch16ex2muc,Parsons,24.0,7.0710678118654755,2,2,1.0
ch16ex3muc,Parsons,32.0,9.899494936611665,2,2,1.0
ch16ex4muc,Parsons,44.5,0.7071067811865476,2,2,1.0
ch16ex5muc,Parsons,65.5,17.67766952966369,2,2,1.0
ch16ex6muc,Parsons,76.0,12.727922061357855,2,2,1.0
ch16ex7muc,Parsons,56.5,13.435028842544403,2,2,1.0
18_3_1_printInfoForCity,Parsons,43.0,0.0,1,1,1.0
midtermRegexCountSumsv2,Parsons,705.6315789473684,4335.843014171602,134,133,0.9925373134328358
htmlp1-v2,Parsons,726.1507936507936,6838.149917125196,126,126,1.0
htmlp2,Parsons,101.57142857142857,79.59803299795075,126,126,1.0
htmlp3,Parsons,76.84920634920636,63.11247958498445,126,126,1.0
htmlp4,Parsons,99.6046511627907,221.00733226682252,129,129,1.0
htmlp5,Parsons,775.7936507936508,7614.573096706036,126,126,1.0
midtermFiindMonth,Parsons,2030.3762376237623,9780.647151238496,102,101,0.9901960784313726
midtermRegexCountSums,Parsons,176.02,128.33801486935218,100,100,1.0
p-regex_get_hosts,Parsons,324.2156862745098,1116.3413512115242,103,102,0.9902912621359223
midtermGetLines,Parsons,65.72549019607843,108.58333085633511,102,102,1.0
xml1,Parsons,29.810606060606062,23.927094283495034,132,132,1.0
xml_1,Parsons,722.984962406015,5541.943266259482,133,133,1.0
xml_2,Parsons,76.82706766917293,71.49131238576703,133,133,1.0
json_read_file1,Parsons,1154.810606060606,6383.403234716252,132,132,1.0
json_list1,Parsons,434.01526717557255,3967.5233855832194,131,131,1.0
