117,117
38,93
36,273
124,142
150,132
93,84
83,327
15,803
14,202
13,187
97,71
66,83
122,169
135,54
3,186
94,71
52,50
113,869
111,130
18,450
16,119
86,57
20,94
127,168
30,26
123,118
53,89
23,59
101,243
84,222
73,148
137,198
76,339
71,355
87,101
133,147
126,454
6,339
102,47
141,78
65,73
60,571
33,85
106,155
107,119
40,103
29,136
114,170
1,112
121,133
58,73
77,93
59,113
27,64
5,149
8,230
128,108
44,90
82,277
48,110
12,53
24,132
46,68
63,194
9,118
42,158
68,41
90,934
146,55
49,203
4,96
98,145
55,91
104,162
119,166
85,94
138,67
25,47
140,147
67,70
151,204
45,135
99,22
125,313
116,71
57,215
103,207
35,257
144,158
26,115
17,85
56,230
34,78
118,67
2,372
81,81
62,78
112,157
100,200
31,104
139,69
69,354
72,258
